Tip,Paylaþým
Negatif,doða aðzýmýza sýçsa hakký var 
Pozitif,anne bir sanatçýdýr güzel eseri yavrusudur 
Negatif,ibrahimin oðlunu koruyan tanrý ben sokayým 
Negatif,köpeðim suratýna sýçsýn senin namussuz karý 
Negatif,ben söðüþledim birazda sen söðüþle 
Negatif,þerefsizlik sözde sanatçýlarýn vazgeçemediði bir deðerdir 
Negatif,kendisi bilmiyordur beyinsiz 
Negatif,aþýrý býyýklý geleneksel keko adam bi ayrýlýp bi barýþan boþ bakýþlý salak çift direnaj ertuðrul sezon dýþýnda bi izlemek isteyenler bi çözüm düþündünüz peki 
Pozitif,uzun yolculuklar bile tek bir adýmla baþlar geleceðin mimarlarý gençlerimiz atýlan ilk adýmlarý var gücümüzle desteklemeye devam ediyoruz 
Pozitif,vallahi aralar istediðimiz tek huzur 
Pozitif,chp genel baþkaný kemal kýlýçdaroðlu nun eþi selvi kýlýçdaroðlu hazine maliye bakaný berat albayrak ýn eþi esra albayrak telefonla arayarak yeni doðan çocuðu ilgili sosyal medyadan yapýlan hakaret içerikli paylaþýmlar nedeniyle duyduðu üzüntüyü paylaþtý 
Pozitif,beyin göçünü engellemeye çalýþtýðýmýz gençlere sosyal medyayý yasaklamak gerçekten dahiyane bir fikir 
Pozitif,doða ana kullanýlmayan depoyu devralýyor 
Pozitif,tarlasýný çekerken beni çekmedin söylenenen dayýnýn kendinin çekildiðinden habersiz oluþu 
Negatif,babanesini seven yoktur heralde anneneler kadar minnoþsa baanneler kadar çekilmez oluyo inþlah babane olmam ilerde aq kimse sevmez beni 
Pozitif,merhaba konuyla ilgili yardýmcý olmak isteriz rtibat numaranýzý direkt mesaj olarak bize iletir misiniz 
Pozitif,nietzsche böyle buyurdu zerdüþt te önce sen kendini inþa etmelisin dimdik bir beden dimdik bir ruhla diyor ekliyor derisini deðiþtirmeyen yýlan ölmeye mahkumdur durum fikirlerini deðiþtirmeyen zihinler geçerlidir sabit fikir büyük hapishanedir 
Pozitif,hiçbir harekete geçen cehalet kadar korkunç olamaz 
Pozitif,yine birileri deðiþimlerin tadýný çýkarmakla meþgul 
Pozitif,stanley parable bir oyun var abi sevebilirsin cümlesini unutamadým bir eskiden ha evet bir skyrim diyorlar kýl cevaplar veriyordum bunlara artýk atýp geçiyom yaþlýlýk geldi bana 
Pozitif,seni kitap okuyan insanlarla tanýþtýracaðým hayat ancak böyle insanlarla bir araya geliyorsan yaþanmaya deðer olur 
Pozitif,yaptýðým baþarýlý aktivite uyumak 
Negatif,demiþ iyilerle kötüler belli deðil it itle gezer yiðit yiðitle 
Negatif,bir faydasý olmayan zararý olan saray soytarýsý nagehan fikrini beyan ediyor 
Negatif,ulan yanan alevi yakan alevi bugün temel ayný çanaktan yal yiyorsun olacak 
Negatif,defol git lan ölüye saygýn yok anladýk bari allah tan korkun olsun yok bli 
Pozitif,den yana formamýzý terleten sadece baþarýlarýyla deðil örnek sporcu kiþiliði büyük beðeni kazanan yuto nagatomo kulübümüze verdiði emekler teþekkür eder bundan sonraki kariyerinde baþarýlar dileriz 
Negatif,kanka ben netflix sayesinde ingilizce ogreniyorum netflix yerine bize amcamizla sikismeyi ogreten turk dizileri yasaklansin 
Negatif,öldürür 
Pozitif,zaman para vermeyeceksin kardeþim he demek para verdin izlemek istiyosun zaman þikayet etmeyeceksin eþcinsellik insanlarýn tercihi buna kimse karýþamaz saygý duymak zorundasýn cinslik içeren film dizilerde zaten uyarýlarý bulunuyor 
Negatif,gay düsmani mustafa 
Pozitif,zlemek istemeyen abone olmaz açýk sahneyse elinde kumanda sardýrabiliyorsun eþcinsellikse tarz izleme birsürü film dizi var üye olma olur biter üye olanada kimse karýþamaz neticede özel bir platform kadar güzel dizi projeleri insanlar izleyemesin 
Negatif,izleme zaman dalyrak 
Negatif,türk televizyon dizileri tecavüz kadýna þiddet silahlý çatýþma evlilik dýþý iliþki ensest dön bi kendi kýçýna bak insanlarýn para verip izlediði þeylere bok atmadan önce 
Negatif,zleme be amýna kodumun koyunu seni 
Negatif,fiyatý fazla geldi gerizekalý 
Negatif,ezik orospu evladi izleyen ister ucretli bir uygulama 
Negatif,zleme ozaman yarram bi karý görsen düz yokuþa týrmanýrsýn burda cinslikden bahsediyon sie 
Negatif,zehirin aktýðý yer sizin beyniniz aðzýnýz farkýnda deðilsiniz kadar cahilsiniz cehaletinizin farkýna bile varamýyorsunuz ilkel insanlarsýnýz 
Negatif,hayatýnda para vermeden seks yapmamýþ çevresi eðitimsiz cahil tipsiz insanlarla dolu cinselliði kedi köðeðin yaptýðý seksten hlice olan çomarlar gelmiþ cinsellik zehirdir diyor yapamadýðýnýzý kadar bli etmeyin bari ezikler yazýk yav bunlara 
Negatif,aq ayýk gezmezler bulduðunu skerler abazalýktan cd eþcinsellerle olurlar sonra netflix yasaklanabilirmiþ sktrn gidin yavþkar 
Negatif,sus lan yavþak izleme götüm zaten fakirlerin netfilixi mi olucak amk yüzyýldan kalma kafayla yaþýyorsunuz 
Negatif,satýn almayýn amk 
Pozitif,bir dur dinle ademoðlu geldin gidiyorsun 
Pozitif,hepsinin ötesinde baskýcý dönemde alýnan kararlarýn baskýcý iktidara hizmet edeceðini düþünüyorum yasa özgür bir ortamda getirilmeli 
Negatif,motorsikletin yanýndan geçen motorcu oluyor amk gün sonra kaza yapýyor arabalara suç atýyor instagramda bir tane düzgün motor kullanan video yok 
Pozitif,benim bir korkum yok konuyu çarpýtmayada gerek yok olursa olsun çocuða kadýna uzanan diller ler toplumdan temizlensin 
Pozitif,baþkalarýna yapýlan hukuk dýþý ahlak dýþý olaylara sessiz kalýp görmezden geldiniz size yapýlýnca ortalýðý ayaða kaldýrdýnýz 
Pozitif,doðduðum günden tam yýl sonra yine ayný tarihte mezun oldum bundan sonra kutsal sayým dur 
Pozitif,komiksin burun deliklerini kapat gülerken corona var 
Pozitif,kahramanlar pelerin takmaz 
